classroom,group,actor,Start,End,Modality,qualitative_content,Rules,Intercomprehension checks_VIC collective,Intercomprehension checks_VIC individuelle,multimodal relevance_correct (hors pertinence linguistique),multimodal relevance_correct and complete,multimodal relevance_correct and incomplete,multimodal relevance_incorrect,phatic gazes_Player 1,phatic gazes_Player 2,phatic gazes_Player 3,phatic gazes_Player 4,verbal relevance_correct and complete,verbal relevance_correct and incomplete,verbal relevance_incorrect,
5,1,Instructeur,62.67,65.0,verbal,heu:: en fait faut faire des feux d'artifice,3 - Pour gagner il faut faire un feu d’artifice,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,62.67,65.0,verbal,0,3 - Pour gagner il faut faire un feu d’artifice,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,Instructeur,66.14,68.08,verbal,heu par exemple des rouges ou des heu,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,66.14,69.995,verbal,0,5 - Le feu d’artifice peut être bleu jaune ou rouge,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,68.985,69.985,verbal,des bleus ou des jaunes,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,69.999,70.333,gaze,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,
5,1,Instructeur,70.005,72.265,verbal,0,3 - Pour gagner il faut faire un feu d’artifice,0,0,0,0,0,0,0,0,0,0,0,0,1,
5,1,Instructeur,71.148,72.263,verbal,et heu:: ou les trois,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,71.726,72.851,gaze,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,
5,1,Joueur 2,72.56,73.57,verbal,mais de combien ?,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,74.115,75.273,verbal,de cinq y en a cinq là,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,74.115,75.273,verbal,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,74.115,78.445,verbal,0,6 - Le feu d’artifice doit être complet (5 cartes d’une même couleur),0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,74.115,78.445,gesture,0,6 - Le feu d’artifice doit être complet (5 cartes d’une même couleur),0,0,0,1,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,74.115,78.445,verbal,0,6 - Le feu d’artifice doit être complet (5 cartes d’une même couleur),0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Joueur 2,75.265,75.775,verbal,ok,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,75.892,77.012,verbal,y a ça ça,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,75.893,76.9,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,75.893,76.9,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,78.445,81.18,verbal,par exemple feu d'artifice heu rouge comme ça,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,78.445,84.44,verbal,0,5 - Le feu d’artifice peut être bleu jaune ou rouge,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,Instructeur,78.445,84.44,gesture,0,5 - Le feu d’artifice peut être bleu jaune ou rouge,0,0,0,0,1,0,0,0,0,0,0,0,0,
5,1,Instructeur,78.445,84.44,verbal,0,5 - Le feu d’artifice peut être bleu jaune ou rouge,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,Instructeur,79.265,79.81,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,79.265,79.81,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,84.55,87.005,verbal,et puis ah on:: a cinq cartes chacun,11 - Chaque joueur doit toujours avoir 5 cartes,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,84.55,87.005,verbal,0,11 - Chaque joueur doit toujours avoir 5 cartes,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,Instructeur,84.55,87.005,gesture,0,11 - Chaque joueur doit toujours avoir 5 cartes,0,0,0,0,1,0,0,0,0,0,0,0,0,
5,1,Instructeur,84.55,87.005,verbal,0,11 - Chaque joueur doit toujours avoir 5 cartes,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,1,Instructeur,85.798,87.886,gaze,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,
5,1,Instructeur,86.049,87.396,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,86.049,87.396,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,87.46,91.235,verbal,sauf qu'on a pas l(e) droit d(e) les regarder faut qu'on les mette comme ça pour que les autres joueurs regardent mais pas nous,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,87.465,89.195,verbal,0,14 - On ne regarde pas ses propres cartes,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,87.465,89.195,gesture,0,14 - On ne regarde pas ses propres cartes,0,0,0,1,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,87.465,89.195,verbal,0,14 - On ne regarde pas ses propres cartes,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,88.417,89.445,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,88.417,89.445,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,88.517,92.276,gaze,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,
5,1,Instructeur,89.195,91.24,verbal,0,15 - On montre ses cartes aux autres,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,89.195,91.24,gesture,0,15 - On montre ses cartes aux autres,0,0,0,1,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,89.195,91.24,verbal,0,15 - On montre ses cartes aux autres,0,0,0,0,0,0,0,0,0,0,1,0,0,
5,1,Instructeur,89.453,90.135,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,89.453,90.135,gesture,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,92.335,93.185,verbal,et après heu::,,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1,Instructeur,93.493,94.625,verbal,0,26 - Il y a des/huit jetons bleus,0,0,0,0,0,0,0,0,0,0,1,0,0,
